source_article_identity,source_locale,source_canonical,relation_type,target_surface,target_identity,target_locale,target_canonical,visible_anchor_intent,display_position,authority_source,query_relationship,publication_eligibility,target_eligibility,analytics_dependency,review_state,evidence,blocker
197,en,https://fermatmind.com/en/articles/iq-test-score-and-limits-explained,related_article,article,195,en,https://fermatmind.com/en/articles/iq-test-growth-guide,继续了解IQ,after relevant section / before final CTA,fap-api CMS/public API required,"same topic; supporting, not co-owner",design_only,excluded_by_authority,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,current public identities verified,G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
197,en,https://fermatmind.com/en/articles/iq-test-score-and-limits-explained,take_assessment,assessment_landing,mbti-personality-test-16-personality-types,en,https://fermatmind.com/en/tests/mbti-personality-test-16-personality-types,Take the test,contextual CTA,current landing_surface_v1,article supports transactional owner,already_authorized_by_current_CMS,public sitemap observed,M06 runtime callsite implemented; production deployment or dispatch not proven,current,VERIFIED API/live/code,none
198,en,https://fermatmind.com/en/articles/iq-test-tool-guide,related_article,article,195,en,https://fermatmind.com/en/articles/iq-test-growth-guide,继续了解IQ,after relevant section / before final CTA,fap-api CMS/public API required,"same topic; supporting, not co-owner",design_only,excluded_by_authority,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,current public identities verified,G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
198,en,https://fermatmind.com/en/articles/iq-test-tool-guide,take_assessment,assessment_landing,mbti-personality-test-16-personality-types,en,https://fermatmind.com/en/tests/mbti-personality-test-16-personality-types,Take the test,contextual CTA,current landing_surface_v1,article supports transactional owner,already_authorized_by_current_CMS,public sitemap observed,M06 runtime callsite implemented; production deployment or dispatch not proven,current,VERIFIED API/live/code,none
73,en,https://fermatmind.com/en/articles/major-career-mismatch-job-search-skills-plan,related_article,article,47,en,https://fermatmind.com/en/articles/career-interest-test-vs-personality-test,继续了解RIASEC/Career Decision,after relevant section / before final CTA,fap-api CMS/public API required,"same topic; supporting, not co-owner",design_only,included_verified,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,current public identities verified,G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
73,en,https://fermatmind.com/en/articles/major-career-mismatch-job-search-skills-plan,take_assessment,assessment_landing,holland-career-interest-test-riasec,en,https://fermatmind.com/en/tests/holland-career-interest-test-riasec,"Take the Holland/RIASEC test, then map your result to job tasks",contextual CTA,current landing_surface_v1,article supports transactional owner,already_authorized_by_current_CMS,public sitemap observed,M06 runtime callsite implemented; production deployment or dispatch not proven,current,VERIFIED API/live/code,none
73,en,https://fermatmind.com/en/articles/major-career-mismatch-job-search-skills-plan,related_career,career_hub,career,en,https://fermatmind.com/en/career,继续探索职业信息（不是确定性推荐）,after decision checklist,fap-api CMS/public API required,career exploration support,blocked_until_Career_C06,Unknown,M06 runtime callsite implemented; production deployment or dispatch not proven,design_only,current career hub public; cohort readiness unresolved,Career C06 missing; G03 review and backend Authority do not open the Career gate; G04 renderer implemented with no deployment proof
85,en,https://fermatmind.com/en/articles/major-category-program-tracking-riasec-choice-checklist,related_article,article,47,en,https://fermatmind.com/en/articles/career-interest-test-vs-personality-test,继续了解RIASEC/Career Decision,after relevant section / before final CTA,fap-api CMS/public API required,"same topic; supporting, not co-owner",design_only,included_verified,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,current public identities verified,G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
85,en,https://fermatmind.com/en/articles/major-category-program-tracking-riasec-choice-checklist,take_assessment,assessment_landing,holland-career-interest-test-riasec,en,https://fermatmind.com/en/tests/holland-career-interest-test-riasec,"Take the Holland/RIASEC test, then compare your track options",contextual CTA,current landing_surface_v1,article supports transactional owner,already_authorized_by_current_CMS,public sitemap observed,M06 runtime callsite implemented; production deployment or dispatch not proven,current,VERIFIED API/live/code,none
85,en,https://fermatmind.com/en/articles/major-category-program-tracking-riasec-choice-checklist,related_career,career_hub,career,en,https://fermatmind.com/en/career,继续探索职业信息（不是确定性推荐）,after decision checklist,fap-api CMS/public API required,career exploration support,blocked_until_Career_C06,Unknown,M06 runtime callsite implemented; production deployment or dispatch not proven,design_only,current career hub public; cohort readiness unresolved,Career C06 missing; G03 review and backend Authority do not open the Career gate; G04 renderer implemented with no deployment proof
199,en,https://fermatmind.com/en/articles/math-not-good-computer-ai-major-course-riasec-checklist,related_article,article,47,en,https://fermatmind.com/en/articles/career-interest-test-vs-personality-test,继续了解RIASEC/Career Decision,after relevant section / before final CTA,fap-api CMS/public API required,"same topic; supporting, not co-owner",design_only,included_verified,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,current public identities verified,G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
199,en,https://fermatmind.com/en/articles/math-not-good-computer-ai-major-course-riasec-checklist,take_assessment,assessment_landing,mbti-personality-test-16-personality-types,en,https://fermatmind.com/en/tests/mbti-personality-test-16-personality-types,Take the test,contextual CTA,current landing_surface_v1,article supports transactional owner,already_authorized_by_current_CMS,public sitemap observed,M06 runtime callsite implemented; production deployment or dispatch not proven,current,VERIFIED API/live/code,none
199,en,https://fermatmind.com/en/articles/math-not-good-computer-ai-major-course-riasec-checklist,related_career,career_hub,career,en,https://fermatmind.com/en/career,继续探索职业信息（不是确定性推荐）,after decision checklist,fap-api CMS/public API required,career exploration support,blocked_until_Career_C06,Unknown,M06 runtime callsite implemented; production deployment or dispatch not proven,design_only,current career hub public; cohort readiness unresolved,Career C06 missing; G03 review and backend Authority do not open the Career gate; G04 renderer implemented with no deployment proof
